Acquisition time	Neg Width   	Fall time   	Rise time   	Pk-Pk       	
9084,884734 	7.8E-9      	2.5E-9      	8.9E-9      	7.9999995232E0	
9084,884734 	7.8E-9      	2.5E-9      	8.9E-9      	7.9999995232E0	
9084,884745 	7.8E-9      	2.5E-9      	8.9E-9      	7.9999995232E0	
9084,884757 	7.8E-9      	2.5E-9      	8.9E-9      	7.9999995232E0	
9084,884769 	7.8E-9      	2.5E-9      	8.9E-9      	7.9999995232E0	
9084,88478  	7.8E-9      	2.5E-9      	8.9E-9      	7.9999995232E0	
9084,88478  	7.8E-9      	2.5E-9      	8.9E-9      	7.9999995232E0	
9084,884792 	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,884803 	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,884815 	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,884826 	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,884826 	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,884838 	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,88485  	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,884861 	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,884861 	8.0E-9      	2.5E-9      	9.3E-9      	7.9200000763E0	
9084,884873 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,884884 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,884896 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,884907 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,884907 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,884919 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,884931 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,884942 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,884954 	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,884954 	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,884965 	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,884977 	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,884988 	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,884988 	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885    	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885012 	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885023 	7.9E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885023 	7.8E-9      	2.6E-9      	9.0E-9      	7.9999995232E0	
9084,885035 	7.8E-9      	2.6E-9      	9.0E-9      	7.9999995232E0	
9084,885046 	7.8E-9      	2.6E-9      	9.0E-9      	7.9999995232E0	
9084,885058 	7.8E-9      	2.6E-9      	9.0E-9      	7.9999995232E0	
9084,885069 	7.8E-9      	2.6E-9      	9.0E-9      	7.9999995232E0	
9084,885069 	7.8E-9      	2.6E-9      	9.0E-9      	7.9999995232E0	
9084,885081 	7.8E-9      	2.6E-9      	9.0E-9      	7.9999995232E0	
9084,885093 	7.8E-9      	2.6E-9      	9.0E-9      	7.9999995232E0	
9084,885104 	7.9E-9      	2.6E-9      	9.2E-9      	7.9199995995E0	
9084,885104 	7.9E-9      	2.6E-9      	9.2E-9      	7.9199995995E0	
9084,885116 	7.9E-9      	2.6E-9      	9.2E-9      	7.9199995995E0	
9084,885127 	7.9E-9      	2.6E-9      	9.2E-9      	7.9199995995E0	
9084,885139 	7.9E-9      	2.6E-9      	9.2E-9      	7.9199995995E0	
9084,88515  	7.9E-9      	2.6E-9      	9.2E-9      	7.9199995995E0	
9084,88515  	7.9E-9      	2.6E-9      	9.2E-9      	7.9199995995E0	
9084,885162 	7.9E-9      	2.6E-9      	9.2E-9      	7.9199995995E0	
9084,885174 	8.0E-9      	2.6E-9      	9.1E-9      	7.9199995995E0	
9084,885185 	8.0E-9      	2.6E-9      	9.1E-9      	7.9199995995E0	
9084,885185 	8.0E-9      	2.6E-9      	9.1E-9      	7.9199995995E0	
9084,885197 	8.0E-9      	2.6E-9      	9.1E-9      	7.9199995995E0	
9084,885208 	8.0E-9      	2.6E-9      	9.1E-9      	7.9199995995E0	
9084,88522  	8.0E-9      	2.6E-9      	9.1E-9      	7.9199995995E0	
9084,885231 	8.0E-9      	2.6E-9      	9.1E-9      	7.9199995995E0	
9084,885231 	8.0E-9      	2.6E-9      	9.1E-9      	7.9199995995E0	
9084,885243 	8.0E-9      	2.5E-9      	9.1E-9      	7.9199995995E0	
9084,885255 	8.0E-9      	2.5E-9      	9.4E-9      	7.8399996758E0	
9084,885266 	8.0E-9      	2.5E-9      	9.4E-9      	7.8399996758E0	
9084,885266 	8.0E-9      	2.5E-9      	9.4E-9      	7.8399996758E0	
9084,885278 	8.0E-9      	2.5E-9      	9.4E-9      	7.8399996758E0	
9084,885289 	8.0E-9      	2.5E-9      	9.4E-9      	7.8399996758E0	
9084,885301 	8.0E-9      	2.5E-9      	9.4E-9      	7.8399996758E0	
9084,885312 	8.0E-9      	2.5E-9      	9.4E-9      	7.8399996758E0	
9084,885312 	8.0E-9      	2.5E-9      	9.4E-9      	7.8399996758E0	
9084,885324 	7.8E-9      	2.6E-9      	9.0E-9      	7.9199995995E0	
9084,885336 	7.8E-9      	2.6E-9      	9.0E-9      	7.9199995995E0	
9084,885347 	7.8E-9      	2.6E-9      	9.0E-9      	7.9199995995E0	
9084,885347 	7.8E-9      	2.6E-9      	9.0E-9      	7.9199995995E0	
9084,885359 	7.8E-9      	2.6E-9      	9.0E-9      	7.9199995995E0	
9084,88537  	7.8E-9      	2.6E-9      	9.0E-9      	7.9199995995E0	
9084,885382 	7.8E-9      	2.6E-9      	9.0E-9      	7.9199995995E0	
9084,885382 	7.8E-9      	2.6E-9      	9.0E-9      	7.9199995995E0	
9084,885394 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,885405 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,885417 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,885428 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,885428 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,88544  	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,885451 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,885463 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,885463 	7.9E-9      	2.5E-9      	8.9E-9      	7.8399996758E0	
9084,885475 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885486 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885498 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885509 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885509 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885521 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885532 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885544 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885544 	8.0E-9      	2.6E-9      	9.3E-9      	7.9199995995E0	
9084,885556 	7.9E-9      	2.5E-9      	9.0E-9      	7.9199995995E0	
9084,885567 	7.9E-9      	2.5E-9      	9.0E-9      	7.9199995995E0	
9084,885579 	7.9E-9      	2.5E-9      	9.0E-9      	7.9199995995E0	
9084,88559  	7.9E-9      	2.5E-9      	9.0E-9      	7.9199995995E0	
9084,88559  	7.9E-9      	2.5E-9      	9.0E-9      	7.9199995995E0	
9084,885602 	7.9E-9      	2.5E-9      	9.0E-9      	7.9199995995E0	
9084,885613 	7.9E-9      	2.5E-9      	9.0E-9      	7.9199995995E0	
9084,885625 	7.9E-9      	2.5E-9      	9.0E-9      	7.9199995995E0	
